PEÇAS;Descrição;Etiqueta;Etiqueta1;QUANTIDADE TOTAL;Origen1;Familia;POSIÇÃO;supplierlabel;REFERENCEDATE;Expirationdate;Backlog
023672;CAIXA DO DIFERENCIAL (BRUTA);M-326447;M-326448;14;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;27/05/2026;;0
023672;CAIXA DO DIFERENCIAL (BRUTA);M-326441;M-326442;14;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;27/05/2026;;0
023672;CAIXA DO DIFERENCIAL (BRUTA);M-326445;M-326446;14;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;27/05/2026;;0
023672;CAIXA DO DIFERENCIAL (BRUTA);M-326453;M-326454;14;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;27/05/2026;;0
088017;*SRC*PORCA;M-322366;M-322368;500;METALURGICA FEY LTDA;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
088017;*SRC*PORCA;M-322366;M-322370;500;METALURGICA FEY LTDA;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
088017;*SRC*PORCA;M-322366;M-322367;500;METALURGICA FEY LTDA;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
088017;*SRC*PORCA;M-322366;M-322369;500;METALURGICA FEY LTDA;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326057;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326049;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326055;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326052;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326056;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326063;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326058;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326066;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
1205L2794;SEAL ASSY;M-326048;M-326050;40;FREUDENBERG NOK COMPONENTES BR;COMPONENTES COMPRADOS;RECEBIMENTO;;26/05/2026;;1
